#Date/Time of Update: 2019-11-08 10:49:04 GMT,#Team ID,#Team Abbr.,#Team City,#Team Name,#GamesPlayed,#AtBats,#Runs,#Hits,#SecondBaseHits,#ThirdBaseHits,#Homeruns,#UnearnedRuns,#RunsBattedIn,#EarnedRuns,#BatterWalks,#BatterSwings,#BatterStrikes,#BatterStrikesFoul,#BatterStrikesMiss,#BatterStrikesLooking,#BatterGroundBalls,#BatterFlyBalls,#BatterLineDrives,#BatterSinkers,#BatterChangeups,#Batter2SeamFastballs,#OpponentsLeftOnBase,#BatterSliders,#BatterCurveballs,#LeftOnBase,#BatterStrikeouts,#BatterSplitters,#BatterCutters,#Batter4SeamFastballs,#StolenBases,#CaughtBaseSteals,#BatterStolenBasePct,#BattingAvg,#BatterOnBasePct,#BatterSluggingPct,#BatterOnBasePlusSluggingPct,#BatterIntentionalWalks,#HitByPitch,#BatterSacrificeBunts,#BatterSacrificeFlies,#TotalBases,#ExtraBaseHits,#BatterDoublePlays,#BatterTriplePlays,#BatterTagOuts,#BatterForceOuts,#BatterPutOuts,#BatterGroundOuts,#BatterFlyOuts,#BatterGroundOutToFlyOutRatio,#PitchesFaced,#PlateAppearances,#OpponentAtBats,#EarnedRunAvg,#InningsPitched,#HitsAllowed,#SecondBaseHitsAllowed,#ThirdBaseHitsAllowed,#RunsAllowed,#EarnedRunsAllowed,#HomerunsAllowed,#PitcherWalks,#PitcherSwings,#PitcherStrikes,#PitcherStrikesFoul,#PitcherStrikesMiss,#PitcherStrikesLooking,#PitcherGroundBalls,#PitcherFlyBalls,#PitcherLineDrives,#PitcherSacrificeBunts,#PitcherSliders,#PitcherCurveballs,#PitcherSplitters,#PitcherCutters,#Pitcher4SeamFastballs,#PitcherSinkers,#PitcherChangeups,#Pitcher2SeamFastballs,#PitcherSacrificeFlies,#PitcherStrikeouts,#PitchingAvg,#WalksAndHitsPerInningPitched,#Shutouts,#BattersHit,#PitcherIntentionalWalks,#PitcherGroundOuts,#PitcherFlyOuts,#PitcherWildPitches,#Balks,#PitcherStolenBasesAllowed,#PitcherCaughtStealing,#PickoffAttempts,#Pickoffs,#TotalBattersFaced,#PitchesThrown,#PitcherGroundOutToFlyOutRatio,#PitcherOnBasePct,#PitcherSluggingPct,#PitcherOnBasePlusSluggingPct,#StrikeoutsPer9Innings,#WalksAllowedPer9Innings,#HitsAllowedPer9Innings,#StrikeoutsToWalksRatio,#PitchesPerInning,#InningsPlayed,#TotalChances,#FielderForceOuts,#FielderTagOuts,#FielderPutOuts,#Assists,#Errors,#FielderDoublePlays,#FielderTriplePlays,#FielderStolenBasesAllowed,#FielderCaughtStealing,#FielderStolenBasePct,#PassedBalls,#FielderWildPitches,#FieldingPct,#DefenceEfficiencyRatio,#OutsFaced,#Wins,#Losses,#WinPct,#GamesBack,#RunsFor,#RunsAgainst,#RunDifferential
,140,ARI,Arizona,Diamondbacks,162,5665,752,1479,285,56,190,70,709,682,463,11135,11156,4270,2546,4340,2120,818,1119,1751,2139,3075,1417,4138,2273,1113,1427,237,1332,8506,137,31,0.815,0.261,0.320,0.432,0.752,0,50,42,38,2446,531,0,0,0,1394,2812,1740,615,2.83,24178,6276,5693,5.15,1434.2,1563,335,38,890,821,202,603,11421,10953,4472,2490,3991,2079,834,1237,42,3866,1434,127,1056,10849,792,2754,3091,42,1318,0.275,1.51,4,57,1,1248,646,69,6,69,2,492,4,6437,24875,1.93,0.348,0.453,0.801,8.27,3.78,9.81,2.19,17.34,1434.2,6116,1323,0,4353,1662,101,13,0,63,35,0.643,17,69,0.983,0.680,4304,69,93,0.426,0.0,752,893,-141
,130,ATL,Atlanta,Braves,161,5514,649,1404,295,27,122,60,615,583,502,11073,10492,4442,2274,3776,2088,805,1159,2332,1941,2705,1285,3726,2007,1161,1240,176,838,8622,75,34,0.688,0.255,0.321,0.384,0.705,0,59,63,50,2119,444,0,0,0,1360,2584,1822,645,2.82,23178,6162,5531,4.58,1424.1,1414,263,44,779,725,177,547,11192,10847,4525,2291,4031,1983,967,1092,52,4664,2211,7,601,9087,3171,2171,2079,50,1227,0.256,1.38,7,70,0,1173,770,82,4,136,4,773,14,6250,24302,1.52,0.328,0.415,0.743,7.75,3.46,8.93,2.24,17.06,1424.1,6009,1269,0,4343,1565,101,20,0,132,25,0.841,14,82,0.983,0.707,4273,68,93,0.422,0.0,643,777,-134
,111,BAL,Baltimore,Orioles,162,5524,744,1413,265,6,253,41,710,703,468,11269,10762,4287,2730,3745,1835,1024,1000,1419,2738,2830,1290,3475,2087,1076,1324,443,1260,8336,19,13,0.594,0.256,0.317,0.443,0.760,1,44,17,36,2449,524,0,0,0,1198,2518,1485,766,1.94,23598,6099,5467,4.26,1415.1,1408,309,18,715,670,183,545,11230,11025,4616,2338,4071,1965,900,1070,17,3918,1648,1567,351,10125,1579,1816,2761,38,1248,0.258,1.38,4,51,0,1192,695,59,3,75,4,486,3,6122,24381,1.72,0.328,0.421,0.750,7.94,3.47,8.95,2.29,17.23,1415.1,5945,1291,0,4291,1574,80,12,0,69,37,0.651,4,59,0.987,0.701,4246,89,73,0.549,0.0,744,722,22
,113,BOS,Boston,Red Sox,162,5670,878,1598,343,25,208,66,836,807,558,10958,11102,4414,2012,4676,2047,1003,1100,1996,2326,2358,1227,3804,2126,1162,1160,517,1405,9250,83,24,0.776,0.282,0.348,0.461,0.810,0,43,8,39,2615,576,0,0,0,1272,2417,1637,736,2.22,24890,6295,5459,4.06,1417.2,1342,243,23,694,640,176,490,11009,10842,4381,2500,3961,1748,1079,937,24,1707,2377,380,1293,7550,850,2519,3619,35,1362,0.246,1.29,4,65,0,1023,812,52,0,61,4,509,3,6073,23517,1.26,0.314,0.395,0.709,8.65,3.11,8.52,2.78,16.59,1417.2,5821,1080,0,4319,1427,75,15,0,59,33,0.641,37,52,0.987,0.707,4253,93,69,0.574,0.0,874,688,186
,131,CHC,Chicago,Cubs,162,5503,808,1409,293,30,199,55,767,753,656,11428,11322,4565,2619,4138,1835,948,1107,2809,2897,2787,1109,3868,2179,1219,1339,235,958,8810,66,34,0.660,0.256,0.343,0.429,0.772,1,96,38,37,2359,522,0,0,1,1149,2478,1520,744,2.04,25250,6354,5309,3.20,1437.1,1125,204,15,556,511,163,495,10714,10945,4194,2586,4165,1877,789,991,31,2858,2667,32,2054,7858,3761,1967,1807,35,1441,0.212,1.13,4,63,0,1234,630,80,0,142,2,537,10,5933,23432,1.96,0.285,0.348,0.633,9.02,3.10,7.04,2.91,16.30,1437.1,6115,1329,0,4379,1635,101,16,0,133,38,0.778,12,80,0.983,0.745,4312,103,58,0.636,0.0,808,558,250
,119,CWS,Chicago,White Sox,162,5547,685,1423,278,33,168,44,655,672,453,11479,11034,4611,2535,3888,2015,897,1081,2546,2366,2805,1323,3301,2187,1103,1287,389,1044,8325,79,36,0.687,0.257,0.317,0.409,0.726,0,56,27,44,2271,479,0,0,1,1303,2580,1669,702,2.38,23808,6142,5524,4.12,1433.1,1422,289,25,714,656,182,522,11019,10601,4412,2277,3912,1887,981,1111,29,3664,1643,512,1351,6231,1486,2770,5557,49,1274,0.257,1.36,4,68,0,1118,786,72,2,99,2,528,4,6196,23943,1.42,0.326,0.418,0.744,8.00,3.28,8.93,2.44,16.70,1433.1,5975,1247,1,4340,1538,97,22,1,91,20,0.820,8,72,0.984,0.701,4300,78,84,0.481,0.0,716,715,1
,135,CIN,Cincinnati,Reds,162,5487,716,1403,277,33,164,49,678,667,452,11073,10661,4472,2295,3894,1949,842,1210,2870,2336,2777,1357,3160,1995,1014,1284,173,1205,8182,139,51,0.732,0.256,0.316,0.408,0.724,0,52,58,42,2238,474,0,0,0,1275,2549,1638,669,2.45,23369,6115,5543,4.98,1420.2,1457,259,18,854,786,258,636,11419,10971,4630,2399,3942,1860,947,1223,54,5341,1408,235,663,10398,2468,2425,1523,35,1241,0.263,1.47,3,78,0,1057,721,61,9,113,7,920,17,6348,24973,1.47,0.345,0.456,0.801,7.86,4.03,9.23,1.95,17.58,1420.2,5977,1204,0,4326,1549,102,16,0,108,45,0.706,9,61,0.983,0.710,4262,68,94,0.420,0.0,716,855,-139
,116,CLE,Cleveland,Indians,161,5518,782,1442,309,29,186,69,738,711,539,11509,11102,4813,2340,3949,1888,923,1187,2089,2768,2567,1193,3361,1789,1094,1253,446,944,9470,135,31,0.813,0.261,0.329,0.429,0.758,0,49,31,60,2367,524,0,0,1,1206,2454,1573,719,2.19,24444,6206,5518,3.88,1439.1,1343,289,27,679,620,189,462,11024,10884,4377,2477,4030,1971,831,1102,27,2461,2791,0,2831,8304,2535,2292,1768,31,1406,0.243,1.25,6,34,0,1247,641,49,7,57,1,496,5,6072,23517,1.95,0.304,0.408,0.713,8.79,2.89,8.40,3.04,16.34,1439.1,6071,1336,1,4362,1620,89,18,0,51,32,0.614,12,49,0.985,0.710,4318,94,67,0.584,0.0,782,687,95
,138,COL,Colorado,Rockies,162,5614,845,1544,318,47,204,58,805,790,494,11736,11271,4809,2534,3928,1972,814,1271,1766,2409,2551,1347,3929,2017,1089,1330,119,1429,9557,66,39,0.629,0.275,0.336,0.457,0.794,0,40,52,35,2568,569,0,0,0,1243,2567,1626,607,2.68,24624,6293,5583,4.94,1419.1,1532,314,51,860,779,181,547,11273,10640,4434,2367,3839,2222,808,1175,49,3702,1705,808,2178,10330,735,2241,2233,36,1223,0.274,1.46,7,70,0,1302,602,72,4,107,5,452,12,6289,24246,2.16,0.345,0.446,0.791,7.76,3.47,9.71,2.24,17.08,1419.1,6147,1413,0,4288,1749,110,17,0,100,31,0.763,13,72,0.982,0.683,4258,75,87,0.463,0.0,849,876,-27
,117,DET,Detroit,Tigers,161,5526,749,1476,252,30,208,42,718,739,494,11188,10831,4487,2427,3917,1829,1052,1101,2156,2433,2746,1238,3331,2057,1107,1307,289,1267,8574,60,29,0.674,0.267,0.331,0.436,0.768,0,53,16,37,2412,490,0,0,1,1207,2507,1497,801,1.87,23791,6139,5454,4.27,1411.0,1412,250,42,720,669,182,460,11210,10767,4538,2374,3855,1940,976,961,24,4292,2086,731,756,9937,1897,2057,1859,54,1234,0.259,1.33,10,54,0,1143,764,44,4,78,4,974,9,6046,23591,1.50,0.320,0.420,0.740,7.87,2.93,9.01,2.68,16.72,1411.0,5898,1255,0,4285,1537,76,11,0,73,39,0.652,5,44,0.987,0.701,4233,86,75,0.534,0.0,781,728,53
