#Date/Time of Update: 2019-11-08 10:49:06 GMT,#Team ID,#Team Abbr.,#Team City,#Team Name,#GamesPlayed,#AtBats,#Runs,#Hits,#SecondBaseHits,#ThirdBaseHits,#Homeruns,#UnearnedRuns,#RunsBattedIn,#EarnedRuns,#BatterWalks,#BatterSwings,#BatterStrikes,#BatterStrikesFoul,#BatterStrikesMiss,#BatterStrikesLooking,#BatterGroundBalls,#BatterFlyBalls,#BatterLineDrives,#LeftOnBase,#BatterStrikeouts,#BatterSplitters,#BatterCutters,#Batter4SeamFastballs,#BatterSinkers,#BatterChangeups,#Batter2SeamFastballs,#OpponentsLeftOnBase,#BatterSliders,#BatterCurveballs,#StolenBases,#CaughtBaseSteals,#BatterStolenBasePct,#BattingAvg,#BatterOnBasePct,#BatterSluggingPct,#BatterOnBasePlusSluggingPct,#BatterIntentionalWalks,#HitByPitch,#BatterSacrificeBunts,#BatterSacrificeFlies,#TotalBases,#ExtraBaseHits,#BatterDoublePlays,#BatterTriplePlays,#BatterTagOuts,#BatterForceOuts,#BatterPutOuts,#BatterGroundOuts,#BatterFlyOuts,#BatterGroundOutToFlyOutRatio,#PitchesFaced,#PlateAppearances,#OpponentAtBats,#EarnedRunAvg,#InningsPitched,#HitsAllowed,#SecondBaseHitsAllowed,#ThirdBaseHitsAllowed,#RunsAllowed,#EarnedRunsAllowed,#HomerunsAllowed,#PitcherWalks,#PitcherSwings,#PitcherStrikes,#PitcherStrikesFoul,#PitcherStrikesMiss,#PitcherStrikesLooking,#PitcherGroundBalls,#PitcherFlyBalls,#PitcherLineDrives,#Pitcher4SeamFastballs,#PitcherSinkers,#PitcherChangeups,#Pitcher2SeamFastballs,#PitcherSacrificeBunts,#PitcherSliders,#PitcherCurveballs,#PitcherSplitters,#PitcherCutters,#PitcherSacrificeFlies,#PitcherStrikeouts,#PitchingAvg,#WalksAndHitsPerInningPitched,#Shutouts,#BattersHit,#PitcherIntentionalWalks,#PitcherGroundOuts,#PitcherFlyOuts,#PitcherWildPitches,#Balks,#PitcherStolenBasesAllowed,#PitcherCaughtStealing,#PickoffAttempts,#Pickoffs,#TotalBattersFaced,#PitchesThrown,#PitcherGroundOutToFlyOutRatio,#PitcherOnBasePct,#PitcherSluggingPct,#PitcherOnBasePlusSluggingPct,#StrikeoutsPer9Innings,#WalksAllowedPer9Innings,#HitsAllowedPer9Innings,#StrikeoutsToWalksRatio,#PitchesPerInning,#InningsPlayed,#TotalChances,#FielderForceOuts,#FielderTagOuts,#FielderPutOuts,#Assists,#Errors,#FielderDoublePlays,#FielderTriplePlays,#FielderStolenBasesAllowed,#FielderCaughtStealing,#FielderStolenBasePct,#PassedBalls,#FielderWildPitches,#FieldingPct,#DefenceEfficiencyRatio,#OutsFaced,#Wins,#Losses,#WinPct,#GamesBack,#RunsFor,#RunsAgainst,#RunDifferential
,140,ARI,Arizona,Diamondbacks,162,5509,812,1404,339,43,220,45,776,765,537,11093,11309,4315,2643,4351,1882,920,1041,1105,1449,270,1799,10232,1545,3198,5369,1057,5333,2837,113,8,0.934,0.255,0.326,0.452,0.777,0,54,39,27,2489,602,11,0,6,1192,2655,1129,652,1.73,24488,6234,5417,3.71,1427.1,1305,287,40,659,589,171,471,10904,10922,4135,2735,4052,1973,859,925,11910,1400,2614,3711,36,5055,3358,904,1224,35,1469,0.241,1.24,5,38,0,1208,624,82,4,71,12,503,11,6084,23949,1.94,0.304,0.403,0.708,9.26,2.97,8.23,3.12,16.78,1427.1,5407,1267,11,4056,1271,80,1,0,71,12,0.855,12,82,0.985,0.705,4282,93,69,0.574,0.0,812,659,153
,130,ATL,Atlanta,Braves,162,5569,732,1472,317,30,166,54,706,677,418,11699,10708,4772,2436,3500,2124,942,1135,1104,1170,295,1337,9218,1756,3505,5015,1092,4727,2551,82,10,0.891,0.264,0.321,0.421,0.743,0,66,59,32,2347,513,9,0,8,1380,2551,1321,703,1.88,23363,6229,5539,4.76,1428.0,1461,346,40,823,755,192,545,11142,10838,4320,2428,4090,1962,1000,1101,10432,330,2317,5268,53,4399,2683,207,933,36,1250,0.264,1.40,4,70,0,1174,740,59,5,107,13,684,13,6317,23892,1.59,0.335,0.445,0.780,7.88,3.43,9.21,2.29,16.73,1428.0,5403,1271,8,4050,1274,79,9,0,107,13,0.892,19,59,0.985,0.697,4284,72,90,0.444,0.0,732,823,-91
,111,BAL,Baltimore,Orioles,162,5639,745,1468,279,15,233,51,714,693,381,11454,11028,4357,2812,3859,1905,934,1093,937,1409,381,1473,10475,1716,3367,3905,981,5190,2428,34,1,0.971,0.260,0.311,0.439,0.750,0,50,10,37,2476,527,10,0,10,1257,2666,1080,668,1.62,23745,6147,5580,5.01,1426.0,1502,312,21,842,794,242,558,11481,11131,4638,2422,4071,1989,981,1103,11451,2096,2458,4989,16,6228,1342,2008,827,48,1227,0.269,1.44,6,60,0,1121,676,53,6,85,10,566,9,6303,25189,1.66,0.339,0.463,0.802,7.74,3.52,9.48,2.20,17.66,1426.0,5408,1295,8,4031,1296,81,8,0,85,10,0.895,8,53,0.985,0.698,4278,75,87,0.463,0.0,745,842,-97
,113,BOS,Boston,Red Sox,162,5657,785,1452,337,24,168,83,736,701,523,11023,11299,4295,2238,4766,2062,946,1111,1006,1213,652,1450,11120,1849,3222,4248,1089,5191,2418,109,3,0.973,0.257,0.324,0.414,0.737,0,53,9,34,2341,529,20,0,16,1356,2569,1202,684,1.76,25115,6348,5633,3.78,1467.1,1384,300,28,668,617,195,447,11949,12196,4960,2866,4370,1732,1036,1017,11979,618,3003,5601,16,4028,2312,26,1365,39,1574,0.246,1.25,6,49,0,975,759,43,2,65,5,591,5,6233,25192,1.28,0.305,0.413,0.718,9.65,2.74,8.49,3.52,17.17,1467.1,5416,1114,8,4219,1114,83,3,0,65,5,0.929,19,43,0.985,0.697,4402,93,69,0.574,0.0,785,668,117
,131,CHC,Chicago,Cubs,162,5468,822,1408,304,34,224,57,787,764,568,11553,11291,4607,2770,3914,1905,920,1016,1113,1390,459,1342,11692,1818,3396,4236,912,4934,2418,65,10,0.867,0.257,0.335,0.448,0.783,0,82,46,32,2452,562,10,1,10,1241,2631,1116,648,1.72,24431,6296,5407,3.96,1433.0,1299,268,22,695,630,196,525,11018,11136,4395,2575,4166,1890,832,1053,11115,3991,2630,2385,26,2252,4115,405,3465,29,1429,0.240,1.27,7,66,0,1166,590,74,4,122,16,563,15,6127,24485,1.98,0.314,0.407,0.720,8.97,3.30,8.16,2.72,17.09,1433.0,5482,1333,11,4073,1334,75,5,0,122,16,0.884,13,74,0.986,0.713,4299,92,70,0.568,0.0,822,695,127
,119,CWS,Chicago,White Sox,162,5502,710,1413,276,39,187,58,669,651,384,11402,10930,4480,2738,3712,1991,873,1003,1055,1387,267,1619,9511,1741,2895,4350,976,4842,2147,82,8,0.911,0.257,0.312,0.423,0.736,0,76,35,33,2328,502,14,0,8,1261,2648,1143,623,1.83,23322,6074,5436,4.88,1409.2,1391,290,37,821,765,243,598,10960,10781,4476,2178,4127,1846,1066,1076,10536,2826,2859,3442,14,4845,2705,555,1030,37,1191,0.256,1.41,4,68,0,1107,772,67,4,125,8,626,8,6213,24646,1.43,0.335,0.457,0.792,7.60,3.82,8.88,1.99,17.48,1409.2,5351,1242,18,4016,1242,93,5,0,125,8,0.940,11,67,0.983,0.717,4229,67,95,0.414,0.0,710,821,-111
,135,CIN,Cincinnati,Reds,162,5461,753,1387,258,39,221,52,714,701,524,11161,10941,4590,2324,4027,1840,988,1056,1100,1312,388,1917,12349,1412,3191,3552,1056,4430,2531,122,12,0.910,0.254,0.325,0.437,0.762,0,72,48,42,2386,518,10,0,15,1209,2521,1131,705,1.60,23973,6228,5445,5.22,1411.1,1442,336,28,869,818,250,594,11300,10946,4447,2577,3922,1935,1006,1017,13598,1814,4088,2186,51,5367,2683,0,1779,48,1287,0.265,1.44,3,77,0,1183,701,62,7,82,9,653,9,6305,24414,1.69,0.343,0.475,0.817,8.21,3.79,9.20,2.17,17.30,1411.1,5369,1300,19,4003,1300,66,8,0,82,9,0.901,9,62,0.988,0.703,4234,68,94,0.420,0.0,753,869,-116
,116,CLE,Cleveland,Indians,162,5505,819,1446,341,38,212,45,780,774,574,11149,10869,4509,2213,4147,1941,1038,1108,1152,1147,442,1111,10600,1268,3487,4401,969,4949,2349,91,9,0.910,0.263,0.335,0.454,0.789,0,50,23,42,2499,591,6,0,10,1242,2389,1170,751,1.56,24849,6237,5372,3.32,1428.0,1264,275,17,564,527,163,391,10953,11201,4290,2863,4048,1709,771,1037,9025,2330,2531,2111,16,3364,3421,0,3382,20,1607,0.235,1.16,2,45,0,1009,550,48,1,53,5,397,5,5879,23075,1.83,0.292,0.384,0.676,10.13,2.46,7.97,4.11,16.16,1428.0,5291,1158,13,4068,1159,64,5,0,53,5,0.914,9,48,0.988,0.697,4284,102,60,0.630,0.0,819,564,255
,138,COL,Colorado,Rockies,162,5513,824,1521,310,40,194,57,795,766,473,11378,11148,4531,2618,3999,1958,892,1081,1054,1399,269,1708,12508,1407,2491,3229,1070,5349,2540,64,10,0.865,0.276,0.336,0.452,0.788,0,44,61,41,2493,544,16,0,10,1240,2639,1113,609,1.83,24028,6217,5482,4.52,1426.2,1448,306,51,757,716,192,513,10921,10570,4315,2283,3972,2098,872,1060,13445,792,2150,3607,49,5535,2470,0,1398,42,1261,0.264,1.37,8,50,0,1274,619,69,9,73,12,665,11,6192,23810,2.06,0.330,0.444,0.774,7.95,3.24,9.13,2.46,16.69,1426.2,5461,1385,4,4011,1385,65,6,0,73,12,0.859,18,69,0.988,0.695,4280,87,75,0.537,0.0,824,757,67
,117,DET,Detroit,Tigers,162,5546,736,1437,303,40,188,52,699,684,483,11416,11172,4619,2516,4037,1848,982,1175,1027,1306,404,1408,10501,2037,2880,4044,1138,5465,2540,67,6,0.918,0.259,0.323,0.430,0.753,0,52,11,26,2384,531,14,0,12,1227,2533,1085,727,1.49,24199,6163,5620,5.43,1408.1,1598,308,37,895,849,220,497,11501,10941,4708,2297,3936,1815,1102,1186,12369,648,3409,3945,13,5844,3093,445,579,61,1199,0.284,1.49,9,61,0,970,807,52,4,91,7,953,7,6315,24505,1.20,0.346,0.470,0.815,7.66,3.18,10.21,2.41,17.40,1408.1,5183,1103,5,4011,1106,66,3,0,91,8,0.919,14,53,0.987,0.678,4225,64,98,0.395,0.0,736,895,-159
