#Date/Time of Update: 2019-11-08 10:32:37 GMT,#Team ID,#Team Abbr.,#Team City,#Team Name,#GamesPlayed,#AtBats,#Runs,#Hits,#SecondBaseHits,#ThirdBaseHits,#Homeruns,#EarnedRuns,#UnearnedRuns,#RunsBattedIn,#BatterWalks,#BatterSwings,#BatterStrikes,#BatterStrikesFoul,#BatterStrikesMiss,#BatterStrikesLooking,#BatterGroundBalls,#BatterFlyBalls,#BatterLineDrives,#OpponentsLeftOnBase,#BatterSliders,#BatterCurveballs,#LeftOnBase,#BatterStrikeouts,#BatterSplitters,#BatterCutters,#Batter4SeamFastballs,#BatterSinkers,#BatterChangeups,#Batter2SeamFastballs,#StolenBases,#CaughtBaseSteals,#BatterStolenBasePct,#BattingAvg,#BatterOnBasePct,#BatterSluggingPct,#BatterOnBasePlusSluggingPct,#BatterIntentionalWalks,#HitByPitch,#BatterSacrificeBunts,#BatterSacrificeFlies,#TotalBases,#ExtraBaseHits,#BatterDoublePlays,#BatterTriplePlays,#BatterTagOuts,#BatterForceOuts,#BatterPutOuts,#BatterGroundOuts,#BatterFlyOuts,#BatterGroundOutToFlyOutRatio,#PitchesFaced,#PlateAppearances,#OpponentAtBats,#EarnedRunAvg,#InningsPitched,#HitsAllowed,#SecondBaseHitsAllowed,#ThirdBaseHitsAllowed,#RunsAllowed,#EarnedRunsAllowed,#HomerunsAllowed,#PitcherWalks,#PitcherSwings,#PitcherStrikes,#PitcherStrikesFoul,#PitcherStrikesMiss,#PitcherStrikesLooking,#PitcherGroundBalls,#PitcherFlyBalls,#PitcherLineDrives,#PitcherSplitters,#PitcherCutters,#Pitcher4SeamFastballs,#PitcherSinkers,#PitcherChangeups,#Pitcher2SeamFastballs,#PitcherSacrificeBunts,#PitcherSliders,#PitcherCurveballs,#PitcherSacrificeFlies,#PitcherStrikeouts,#PitchingAvg,#WalksAndHitsPerInningPitched,#Shutouts,#BattersHit,#PitcherIntentionalWalks,#PitcherGroundOuts,#PitcherFlyOuts,#PitcherWildPitches,#Balks,#PitcherStolenBasesAllowed,#PitcherCaughtStealing,#PickoffAttempts,#Pickoffs,#TotalBattersFaced,#PitchesThrown,#PitcherGroundOutToFlyOutRatio,#PitcherOnBasePct,#PitcherSluggingPct,#PitcherOnBasePlusSluggingPct,#StrikeoutsPer9Innings,#WalksAllowedPer9Innings,#HitsAllowedPer9Innings,#StrikeoutsToWalksRatio,#PitchesPerInning,#InningsPlayed,#TotalChances,#FielderTagOuts,#FielderForceOuts,#FielderPutOuts,#Assists,#Errors,#FielderDoublePlays,#FielderTriplePlays,#FielderStolenBasesAllowed,#FielderCaughtStealing,#FielderStolenBasePct,#PassedBalls,#FielderWildPitches,#FieldingPct,#DefenceEfficiencyRatio,#OutsFaced,#Wins,#Losses,#WinPct,#GamesBack,#RunsFor,#RunsAgainst,#RunDifferential
,140,ARI,Arizona,Diamondbacks,162,5436,692,1281,276,55,177,643,48,657,523,10993,11224,4338,2573,4313,1813,933,1026,1098,4408,2252,1057,1455,278,1326,9518,2096,2534,2878,85,7,0.924,0.236,0.306,0.404,0.711,0,52,38,45,2198,508,12,0,6,1199,2654,1105,699,1.58,24025,6163,5464,3.74,1449.1,1309,271,24,643,603,173,481,11060,11202,4215,2735,4252,1974,899,976,867,1588,8750,1920,2631,2410,29,3631,2220,33,1437,0.240,1.24,5,56,0,1232,655,69,5,70,4,550,4,6146,24136,1.88,0.306,0.393,0.699,8.92,2.99,8.13,2.99,16.65,1449.1,5543,3,1357,4125,1357,61,3,0,70,4,0.946,6,69,0.989,0.710,4348,82,80,0.506,0.0,692,643,49
,130,ATL,Atlanta,Braves,162,5543,758,1425,330,42,174,696,59,716,460,11792,10941,4824,2589,3528,1900,1030,1113,1116,4379,2288,1109,1275,266,908,9574,1462,2821,3071,96,5,0.950,0.257,0.319,0.426,0.745,0,66,48,43,2361,546,12,0,11,1206,2481,1173,771,1.52,23810,6259,5369,3.78,1441.2,1237,273,28,657,605,153,594,10983,11069,4253,2687,4129,1765,927,1032,1083,1843,10201,1506,1909,2417,36,4038,2687,35,1411,0.230,1.27,7,52,0,1103,700,62,8,108,12,631,11,6163,24243,1.58,0.311,0.377,0.688,8.81,3.71,7.72,2.38,16.82,1441.2,5316,6,1146,4097,1151,68,8,0,108,13,0.893,13,62,0.987,0.720,4325,90,72,0.556,0.0,758,657,101
,111,BAL,Baltimore,Orioles,162,5502,628,1321,255,22,188,593,34,593,403,11371,10968,4389,2839,3740,1869,956,982,1151,4407,1922,1019,1410,392,1390,8889,1574,2962,2916,81,3,0.964,0.240,0.297,0.397,0.694,0,57,12,35,2184,465,9,0,12,1292,2702,1148,716,1.60,23539,6047,5619,5.23,1417.1,1547,340,38,892,823,234,560,11499,10984,4568,2451,3965,1916,1057,1149,1401,123,11334,1655,2287,2336,15,5703,980,41,1198,0.275,1.49,4,67,0,1099,730,81,8,96,4,559,4,6358,24733,1.51,0.346,0.474,0.820,7.61,3.56,9.82,2.14,17.45,1417.1,5329,12,1231,4017,1231,81,4,0,96,4,0.960,9,81,0.985,0.691,4252,47,115,0.290,0.0,628,892,-264
,113,BOS,Boston,Red Sox,162,5576,867,1496,362,38,206,794,73,819,528,11271,10975,4527,2346,4102,1941,1046,1088,1120,4668,1867,1097,1241,534,1261,9703,2002,3082,2925,128,10,0.928,0.268,0.335,0.458,0.793,0,55,7,48,2552,606,11,0,9,1218,2466,1144,733,1.56,24627,6283,5472,3.81,1439.2,1292,256,40,644,609,175,502,11434,11700,4728,2719,4253,1724,966,971,108,2026,9277,792,2871,3273,8,3720,2013,45,1544,0.236,1.25,4,84,0,995,714,51,3,68,4,401,4,6147,24565,1.39,0.308,0.393,0.701,9.65,3.14,8.08,3.08,17.06,1439.2,5345,13,1122,4157,1123,65,2,0,68,4,0.944,25,51,0.988,0.707,4319,108,54,0.667,0.0,867,644,223
,131,CHC,Chicago,Cubs,163,5579,757,1442,310,41,167,690,64,719,508,11504,11149,4414,2779,3956,2016,880,1075,1147,5092,2172,1192,1376,286,1192,9198,1529,2622,3677,73,8,0.901,0.258,0.327,0.419,0.745,0,78,38,46,2335,518,20,0,10,1261,2637,1187,636,1.87,24264,6364,5461,3.68,1457.0,1310,238,37,644,595,156,585,11110,11134,4419,2455,4260,1938,923,1078,418,2896,10520,3161,2724,2158,37,1934,2943,35,1322,0.240,1.30,7,66,0,1152,707,45,2,86,19,543,19,6264,24685,1.63,0.319,0.383,0.702,8.17,3.61,8.09,2.26,16.94,1457.0,5556,14,1341,4127,1341,88,3,0,86,19,0.819,12,45,0.984,0.715,4371,95,68,0.583,0.0,757,644,113
,119,CWS,Chicago,White Sox,162,5518,655,1332,269,50,182,619,36,639,407,11595,11547,4569,3041,3937,1816,868,995,1147,4245,2317,1052,1581,350,1128,8919,1611,2683,3614,104,7,0.937,0.241,0.300,0.407,0.707,0,66,20,31,2247,501,9,0,13,1212,2793,1091,640,1.70,23784,6083,5529,4.93,1419.1,1407,318,28,849,777,196,629,11292,11006,4532,2423,4051,1794,1087,1061,0,1607,8621,2601,3829,3619,16,3426,2017,48,1251,0.254,1.43,3,89,0,1084,789,94,5,138,11,749,11,6355,25037,1.37,0.338,0.428,0.766,7.93,3.99,8.92,1.99,17.64,1419.1,5290,8,1141,4057,1141,92,6,0,138,11,0.926,20,94,0.983,0.708,4258,62,100,0.383,0.0,655,849,-194
,135,CIN,Cincinnati,Reds,162,5492,696,1398,264,29,172,662,34,665,523,11184,10780,4581,2373,3826,1767,1020,1123,1106,3620,2392,1138,1363,322,1669,10090,1319,2513,3169,78,9,0.897,0.255,0.325,0.407,0.732,0,65,46,34,2236,465,12,0,6,1136,2499,1026,767,1.34,23715,6241,5561,4.72,1425.1,1484,294,43,820,747,228,472,11453,10894,4537,2488,3869,2001,988,1100,77,49,8465,2207,2869,4957,41,6013,955,48,1250,0.267,1.37,11,50,0,1166,698,48,7,85,1,502,1,6278,23973,1.67,0.327,0.458,0.785,7.89,2.98,9.37,2.65,16.82,1425.1,5421,9,1296,4041,1296,84,3,0,85,1,0.988,6,48,0.985,0.699,4276,67,95,0.414,0.0,696,820,-124
,116,CLE,Cleveland,Indians,162,5624,826,1462,323,24,217,772,52,794,523,11361,10942,4668,2190,4084,1851,1107,1172,1057,4541,2314,1175,1191,395,1073,8644,1372,2781,4090,143,4,0.973,0.260,0.329,0.442,0.771,0,81,25,44,2484,564,19,0,10,1180,2371,1148,799,1.44,24831,6347,5590,3.80,1453.2,1357,322,28,652,614,200,380,11301,11391,4334,2881,4176,1781,999,1004,34,1770,9219,2218,1907,1204,15,3878,3096,21,1547,0.243,1.19,4,59,0,1077,737,54,2,85,9,464,9,6120,23652,1.46,0.297,0.418,0.715,9.58,2.35,8.40,4.07,16.27,1453.2,5368,7,1114,4180,1117,71,8,0,85,9,0.904,9,54,0.987,0.702,4361,91,71,0.562,0.0,826,652,174
,138,COL,Colorado,Rockies,163,5506,780,1408,289,47,209,722,58,748,470,11463,10794,4540,2700,3554,1968,935,1039,1035,4338,2048,1050,1382,288,1403,9505,2148,2268,2512,102,4,0.962,0.256,0.318,0.439,0.757,0,51,42,37,2418,545,21,0,11,1311,2693,1195,655,1.82,23471,6199,5463,4.34,1439.1,1378,281,54,743,694,183,501,11006,10966,4211,2635,4120,1913,898,1053,0,2672,10492,500,2632,1707,25,5043,2106,46,1396,0.252,1.31,7,52,0,1162,640,70,6,95,9,643,9,6161,23917,1.82,0.319,0.424,0.742,8.73,3.13,8.62,2.79,16.62,1439.1,5419,8,1302,4064,1303,52,7,0,95,9,0.913,11,70,0.990,0.698,4318,91,72,0.558,0.0,780,743,37
,117,DET,Detroit,Tigers,162,5482,630,1325,296,41,135,585,45,598,410,11571,11017,4660,2703,3654,1827,927,1089,1050,4051,2065,1088,1331,354,1068,9199,1803,2779,3129,71,11,0.866,0.242,0.299,0.385,0.683,0,52,15,40,2108,472,16,0,8,1171,2502,1065,719,1.48,23417,6042,5497,4.66,1414.0,1421,298,38,797,732,216,471,11098,10741,4389,2346,4006,1780,1131,1071,1,838,8507,481,2928,4262,15,6888,1983,56,1213,0.259,1.34,12,60,0,1070,839,54,4,83,6,619,6,6139,24014,1.28,0.321,0.444,0.765,7.72,3.00,9.04,2.58,16.98,1414.0,5282,15,1158,4053,1158,71,5,0,83,6,0.933,8,54,0.987,0.709,4242,64,98,0.395,0.0,630,797,-167
