#Date/Time of Update: 2019-11-08 10:49:08 GMT,#Team ID,#Team Abbr.,#Team City,#Team Name,#GamesPlayed,#AtBats,#Runs,#Hits,#SecondBaseHits,#ThirdBaseHits,#Homeruns,#UnearnedRuns,#RunsBattedIn,#EarnedRuns,#BatterWalks,#BatterSwings,#BatterStrikes,#BatterStrikesFoul,#BatterStrikesMiss,#BatterStrikesLooking,#BatterGroundBalls,#BatterFlyBalls,#BatterLineDrives,#LeftOnBase,#BatterStrikeouts,#BatterSplitters,#BatterCutters,#Batter4SeamFastballs,#BatterSinkers,#BatterChangeups,#Batter2SeamFastballs,#OpponentsLeftOnBase,#BatterSliders,#BatterCurveballs,#StolenBases,#CaughtBaseSteals,#BatterStolenBasePct,#BattingAvg,#BatterOnBasePct,#BatterSluggingPct,#BatterOnBasePlusSluggingPct,#BatterIntentionalWalks,#HitByPitch,#BatterSacrificeBunts,#BatterSacrificeFlies,#TotalBases,#ExtraBaseHits,#BatterDoublePlays,#BatterTriplePlays,#BatterTagOuts,#BatterForceOuts,#BatterPutOuts,#BatterGroundOuts,#BatterFlyOuts,#BatterGroundOutToFlyOutRatio,#PitchesFaced,#PlateAppearances,#OpponentAtBats,#EarnedRunAvg,#InningsPitched,#HitsAllowed,#SecondBaseHitsAllowed,#ThirdBaseHitsAllowed,#RunsAllowed,#EarnedRunsAllowed,#HomerunsAllowed,#PitcherWalks,#PitcherSwings,#PitcherStrikes,#PitcherStrikesFoul,#PitcherStrikesMiss,#PitcherStrikesLooking,#PitcherGroundBalls,#PitcherFlyBalls,#PitcherLineDrives,#Pitcher4SeamFastballs,#PitcherSinkers,#PitcherChangeups,#Pitcher2SeamFastballs,#PitcherSliders,#PitcherSacrificeBunts,#PitcherCurveballs,#PitcherSplitters,#PitcherCutters,#PitcherSacrificeFlies,#PitcherStrikeouts,#PitchingAvg,#WalksAndHitsPerInningPitched,#Shutouts,#BattersHit,#PitcherIntentionalWalks,#PitcherGroundOuts,#PitcherFlyOuts,#PitcherWildPitches,#Balks,#PitcherStolenBasesAllowed,#PitcherCaughtStealing,#PickoffAttempts,#Pickoffs,#TotalBattersFaced,#PitchesThrown,#PitcherGroundOutToFlyOutRatio,#PitcherOnBasePct,#PitcherSluggingPct,#PitcherOnBasePlusSluggingPct,#StrikeoutsPer9Innings,#WalksAllowedPer9Innings,#HitsAllowedPer9Innings,#StrikeoutsToWalksRatio,#PitchesPerInning,#InningsPlayed,#TotalChances,#FielderForceOuts,#FielderTagOuts,#FielderPutOuts,#Assists,#Errors,#FielderDoublePlays,#FielderTriplePlays,#FielderStolenBasesAllowed,#FielderCaughtStealing,#FielderStolenBasePct,#PassedBalls,#FielderWildPitches,#FieldingPct,#DefenceEfficiencyRatio,#OutsFaced,#Wins,#Losses,#WinPct,#GamesBack,#RunsFor,#RunsAgainst,#RunDifferential
,140,ARI,Arizona,Diamondbacks,162,5633,813,1418,286,41,220,46,777,764,540,11655,11370,4643,2669,4058,1903,1067,1038,1119,1360,602,2009,11602,2355,3153,2492,1264,5251,2519,88,14,0.863,0.252,0.323,0.434,0.757,0,70,29,38,2446,547,0,0,7,1234,2589,1493,747,2.00,24600,6322,5568,4.30,1455.2,1400,287,29,743,696,220,516,11424,11247,4521,2684,4042,1839,996,1066,11234,2961,3460,1011,4519,39,2641,662,1820,39,1427,0.251,1.32,3,62,0,1135,701,49,4,57,20,683,13,6230,24485,1.62,0.320,0.432,0.752,8.82,3.19,8.66,2.77,16.82,1455.2,6039,1248,10,4395,1561,83,5,0,47,31,0.603,6,49,0.986,0.705,4367,85,77,0.525,0.0,811,742,69
,130,ATL,Atlanta,Braves,162,5560,855,1429,276,28,249,71,822,782,619,11993,11534,4888,2951,3695,1689,1047,1122,1138,1467,690,1958,11502,2890,4019,3193,1331,5925,2542,89,28,0.761,0.257,0.336,0.451,0.787,0,60,23,35,2508,553,0,0,9,1078,2542,1315,710,1.85,25141,6314,5557,4.25,1441.2,1423,253,23,743,681,203,548,11376,11075,4484,2661,3930,1931,939,1050,10751,709,2156,4581,5712,39,3133,818,2117,27,1393,0.256,1.37,4,69,0,1140,653,69,3,79,15,446,9,6243,24358,1.75,0.329,0.419,0.748,8.70,3.42,8.88,2.54,16.90,1441.2,5950,1241,11,4352,1522,76,6,0,76,20,0.792,24,69,0.987,0.697,4325,97,65,0.599,0.0,853,740,113
,111,BAL,Baltimore,Orioles,162,5595,729,1384,252,25,214,45,698,682,462,11844,11571,4779,2850,3942,1883,969,1018,1063,1435,483,2386,10874,2365,3689,2528,1267,5496,3165,84,30,0.737,0.247,0.311,0.416,0.727,0,71,22,36,2328,491,0,0,15,1226,2663,1455,678,2.15,24610,6188,5697,5.68,1429.1,1554,314,30,981,902,306,561,11841,11253,4773,2569,3911,1838,1157,1148,14120,2807,4954,1678,7752,10,1711,120,745,46,1248,0.273,1.48,5,80,0,1069,788,75,4,82,11,434,5,6396,25419,1.36,0.344,0.500,0.843,7.86,3.53,9.78,2.22,17.78,1429.1,5877,1189,8,4329,1441,107,4,0,79,25,0.760,16,75,0.982,0.703,4288,54,108,0.333,0.0,728,979,-251
,113,BOS,Boston,Red Sox,162,5809,906,1567,348,27,246,72,862,833,594,12258,11818,4955,2820,4043,1940,1135,1087,1193,1388,425,2294,11735,2183,3648,3048,1351,6080,2742,68,30,0.694,0.270,0.340,0.466,0.806,0,49,20,44,2707,621,0,0,13,1230,2621,1464,740,1.98,25781,6522,5700,4.74,1470.1,1432,322,26,834,774,217,610,12139,12462,4975,3060,4427,1771,1020,1006,11796,1271,3639,3095,4995,18,3597,233,3304,38,1648,0.251,1.39,5,76,0,1038,684,81,6,73,24,487,7,6444,26470,1.52,0.330,0.431,0.761,10.09,3.73,8.77,2.70,18.00,1470.1,5962,1156,16,4436,1436,90,8,0,70,31,0.693,16,81,0.985,0.688,4411,84,78,0.519,0.0,905,833,72
,131,CHC,Chicago,Cubs,162,5461,814,1376,269,26,256,47,784,765,581,11397,11152,4337,2990,3825,1874,927,981,1072,1460,358,1659,10994,2071,3464,3278,1279,5487,2976,44,24,0.647,0.252,0.331,0.451,0.782,0,83,29,39,2465,551,0,0,7,1264,2720,1476,586,2.52,24209,6208,5492,4.17,1429.0,1378,265,25,717,662,195,534,11240,11264,4540,2573,4151,1901,880,1056,9571,5019,3484,2123,2682,29,3574,164,4211,49,1444,0.251,1.34,5,80,0,1138,623,61,1,97,20,532,13,6190,24473,1.83,0.324,0.415,0.738,9.09,3.36,8.68,2.70,17.13,1429.0,6061,1285,15,4326,1619,116,1,0,91,25,0.784,10,61,0.981,0.699,4287,84,78,0.519,0.0,813,717,96
,119,CWS,Chicago,White Sox,161,5566,710,1448,262,20,182,69,676,639,381,11704,11469,4627,3008,3834,1886,855,1043,1081,1564,445,1892,11537,1864,3422,2388,1283,5741,2797,65,28,0.699,0.260,0.314,0.413,0.726,0,67,34,32,2296,464,0,0,10,1170,2733,1379,594,2.32,23835,6098,5508,4.91,1414.0,1449,279,19,837,771,240,586,11560,11121,4643,2669,3809,1847,970,1094,11546,2357,4578,2942,4291,21,2378,7,4607,39,1320,0.263,1.44,5,52,0,1072,644,72,4,80,19,465,5,6208,24588,1.66,0.337,0.451,0.789,8.40,3.73,9.22,2.25,17.39,1414.0,5910,1223,14,4261,1533,116,4,0,77,26,0.748,13,72,0.980,0.698,4242,72,90,0.447,0.0,709,837,-128
,135,CIN,Cincinnati,Reds,162,5450,701,1329,235,27,227,46,679,653,492,11466,11219,4722,2667,3830,1720,1022,989,1073,1436,323,1967,10188,2378,2898,2511,1173,4817,2775,80,38,0.678,0.244,0.315,0.422,0.737,0,89,29,32,2299,489,0,0,22,1167,2605,1353,694,1.95,23839,6114,5395,4.23,1429.0,1272,257,19,711,671,214,536,11270,11283,4348,3014,3921,1757,933,923,9282,1290,3283,4791,6980,36,2536,579,677,31,1552,0.236,1.27,6,58,0,1087,652,36,7,96,22,475,3,6057,24311,1.67,0.310,0.409,0.719,9.77,3.38,8.01,2.90,17.01,1429.0,5863,1197,15,4314,1461,88,5,0,86,27,0.761,10,36,0.985,0.714,4287,75,87,0.463,0.0,699,708,-9
,116,CLE,Cleveland,Indians,162,5425,769,1353,286,18,223,74,731,693,563,11122,10749,4445,2505,3799,1802,1037,976,1072,1332,440,1820,10821,2373,3798,2434,1181,5732,2786,102,35,0.745,0.249,0.323,0.432,0.755,0,50,39,46,2344,527,0,0,14,1138,2478,1393,730,1.91,24210,6130,5451,3.83,1424.0,1309,314,19,657,606,207,450,11174,11211,4376,2816,4019,1602,1018,1019,11086,1683,2988,1055,6558,15,2363,262,1150,30,1507,0.240,1.24,10,62,0,1002,737,42,2,59,17,346,12,6008,23522,1.36,0.304,0.419,0.722,9.52,2.84,8.27,3.35,16.52,1424.0,5718,1075,17,4313,1321,84,6,0,53,28,0.654,2,42,0.985,0.709,4272,93,69,0.574,0.0,769,656,113
,138,COL,Colorado,Rockies,162,5660,835,1504,322,41,224,59,803,772,489,11840,11297,4750,2841,3706,1823,1008,1092,1075,1503,497,2066,11470,2236,2985,2163,1335,5094,2600,71,31,0.696,0.266,0.327,0.456,0.782,0,43,50,41,2580,587,0,0,13,1168,2674,1420,684,2.08,24356,6300,5692,5.62,1438.0,1573,321,44,958,898,270,589,11605,10969,4499,2596,3874,2091,988,1152,13642,723,2297,1502,6915,42,2208,6,2345,43,1264,0.276,1.50,7,57,0,1295,649,63,6,80,23,504,7,6423,24810,2.00,0.348,0.491,0.838,7.91,3.69,9.84,2.15,17.25,1438.0,6203,1394,16,4346,1758,99,8,0,74,30,0.712,8,63,0.984,0.693,4314,71,91,0.438,0.0,832,957,-125
,117,DET,Detroit,Tigers,161,5548,582,1334,292,41,149,43,556,539,391,11846,11608,4737,3104,3767,1689,963,1040,1069,1595,396,1913,10547,1941,3026,2344,1349,5366,2500,56,20,0.737,0.240,0.294,0.388,0.682,0,48,9,43,2155,482,0,0,14,1125,2722,1281,715,1.79,23626,6047,5664,5.27,1425.0,1556,314,43,915,835,250,536,11654,11369,4630,2659,4080,1882,1080,1061,11380,2821,3158,2414,7210,25,2535,5,1728,46,1368,0.275,1.47,7,69,0,1071,735,66,6,105,28,548,11,6341,24903,1.46,0.342,0.478,0.820,8.64,3.39,9.83,2.55,17.48,1425.0,5858,1173,9,4299,1451,108,2,0,98,36,0.731,16,66,0.982,0.683,4275,47,114,0.292,0.0,582,912,-330
